  └─ debt=3.06 res=0.79 ent=0.33 emg=0.53 B:8 H:3 F:19 A:50 V:19 T:0
  └─ debt=3.00 res=0.79 ent=0.33 emg=0.53 B:8 H:4 F:17 A:40 V:17 T:0
  └─ debt=3.42 res=0.91 ent=0.10 emg=0.82 B:8 H:4 F:19 A:51 V:16 T:0
  └─ debt=3.58 res=0.78 ent=0.29 emg=0.55 B:16 H:3 F:18 A:39 V:19 T:0
  └─ debt=3.76 res=0.89 ent=0.10 emg=0.80 B:8 H:4 F:20 A:47 V:19 T:0
  └─ debt=3.69 res=0.77 ent=0.30 emg=0.54 B:8 H:3 F:19 A:42 V:17 T:0
  └─ debt=3.61 res=0.89 ent=0.10 emg=0.80 B:8 H:3 F:20 A:45 V:14 T:0
  └─ debt=3.54 res=0.77 ent=0.30 emg=0.54 B:8 H:4 F:16 A:52 V:16 T:0
  └─ debt=3.47 res=0.77 ent=0.33 emg=0.52 B:8 H:3 F:17 A:39 V:16 T:0
  └─ debt=3.71 res=0.78 ent=0.33 emg=0.52 B:8 H:3 F:17 A:42 V:17 T:0
  └─ debt=3.64 res=0.77 ent=0.33 emg=0.51 B:8 H:3 F:19 A:40 V:19 T:0
  └─ debt=3.56 res=0.77 ent=0.33 emg=0.51 B:8 H:5 F:19 A:35 V:17 T:0
  └─ debt=3.82 res=0.89 ent=0.10 emg=0.80 B:8 H:3 F:15 A:51 V:16 T:0
  └─ debt=3.75 res=0.77 ent=0.30 emg=0.54 B:8 H:3 F:17 A:43 V:19 T:0
  └─ debt=4.21 res=0.77 ent=0.34 emg=0.51 B:8 H:4 F:19 A:38 V:19 T:0
  └─ debt=4.12 res=0.75 ent=0.33 emg=0.50 B:8 H:3 F:19 A:42 V:17 T:0
  └─ debt=4.04 res=0.76 ent=0.34 emg=0.50 B:8 H:3 F:21 A:34 V:14 T:0
  └─ debt=3.96 res=0.88 ent=0.10 emg=0.79 B:8 H:3 F:23 A:47 V:16 T:0
  └─ debt=4.38 res=0.76 ent=0.30 emg=0.53 B:8 H:3 F:24 A:45 V:16 T:0
  └─ debt=4.29 res=0.75 ent=0.34 emg=0.50 B:8 H:3 F:22 A:47 V:17 T:0
  └─ debt=4.21 res=0.75 ent=0.34 emg=0.50 B:8 H:3 F:23 A:44 V:19 T:0
  └─ debt=4.12 res=0.75 ent=0.34 emg=0.50 B:8 H:3 F:28 A:37 V:17 T:0
  └─ debt=4.17 res=0.88 ent=0.10 emg=0.79 B:8 H:5 F:24 A:49 V:16 T:0
  └─ debt=4.09 res=0.75 ent=0.30 emg=0.53 B:8 H:3 F:18 A:43 V:19 T:0
  └─ debt=4.01 res=0.88 ent=0.10 emg=0.79 B:8 H:5 F:21 A:63 V:19 T:0
  └─ debt=3.93 res=0.76 ent=0.30 emg=0.53 B:8 H:3 F:20 A:54 V:17 T:0
  └─ debt=3.85 res=0.76 ent=0.34 emg=0.51 B:8 H:3 F:21 A:41 V:14 T:0
